A LITTLE	piši
ACCUSE	čata/tumpa
ADD	yapa
ADOBE	tika
AFTER	qipa
ALL	ʎapa/tukuy
ALONE	sapa
ALTAR	ušnu
ANGRY	piña
ANIMAL	uywa
APPROACH	aču
ARM	maka
ARRIVE	tʂaya
ASH	ʎipta/utʂpa
ASK (INQUIRE)	tapu
ASK (REQUEST)	maña
BACK	waša
BAG	runku
BARKING	aña
BASKET	čipa
BAT	mašu
BATHE	arma
BE	ka
BE ALIVE	kawsa
BE BORN	yuri
BEAD	piñi
BEAUTIFUL	šumaq
BEER	aswa
BEGIN	qaʎa
BELLY	wiksa
BELT	watu
BIG	hatun
BIRD	yutu/akakʎu/kuntur/pišqu/tʂuqa/waʎpa
BITE	kani
BLACK	yana
BLADDER	pukuču
BLANKET	čusi
BLISTER	pušʎu
BLOCK (THE WAY)	harka
BLOOD	yawar
BLUNT	quru
BOIL (OF LIQUID)	timpu
BOIL (OF SKIN)	čupu
BOIL (SOMETHING)	pušpu
BONE	tuʎu
BORDER	manya
BOTTOM	siki
BRAIN	ñutqu
BRANCH	čapra
BREAD	tanta
BREAK (DESTROY OR GET DESTROYED)	paki
BREAST	anu/ñuñu/čiču
BREATHE	sama
BRIDGE	čaka/waru
BRING	ašta
BROTHER	turi/wawqi
BROTHER-IN-LAW	maša
BRUISE	quyu
BUD	yuyu/mukmu
BUNDLE	maytu/wanku
BURN	qatʂpa
BURN (SOMETHING)	ʎiʎi/kaña
BURNING	rawra
BUSH	čiʎka
BUTTERFLY	piʎpintu
CALF	uña
CALM	qasi
CARRY	apa/wantu
CARRY ON BACK	qipi
CARRY UNDER ARM	marqa
CARVE	ʎaqʎa
CAVE	matʂay
CHAFF (HUSK)	panqa
CHEST	qasqu
CHEW	aku/haʎpa/kaštu/katʂka/katʂu/kutʂku/muʎmu
CHILD (YOUNG HUMAN)	čuri/wawa/wamra
CHILI PEPPER	uču
CHOOSE	akʎa
CHOP	witu
CLAW OR NAIL	šiʎu
CLEAN (SOMETHING)	piča
CLIMB	siqa/wiča
CLOSED	witʂqa
CLOTHES	unku/wara/anaku/kušma
COMB	ñaqča
COME	šamu
COOK (SOMETHING)	yanu/panku
COPPER	anta
CORNER	kuču
CORPSE	aya
COTTON	utku
COUGH	qusu
COUNT	yupa
COVER	šuku
CROUCH	kuku/kumu
CRUSH	ñutu/čamqa/niti
CRY	waqa
CURE	hampi
CUT	kuču/rutu/tipi
CUT DOWN	čaqu
DAMAGE	awča
DANCE	tušu/qatʂwa
DAUGHTER-IN-LAW	ʎumčuy
DEBT	huča/manu
DEER	taruka
DEFEAT	ati
DEMON	supay
DEW	šuʎa
DIE	wañu
DIFFICULT	sasa
DIG	aʎa
DIRT	kurpa
DIRTY	karka/qanra
DISEASE	uta/wanti
DITCH	raqra
DOG	aʎqu
DOOR	punku
DOUGH	piqa
DOWN OR BELOW	ura
DRAW (WATER)	parqu
DRAW MILK	čawa
DREAM	muspa/musqu
DRINK	upya
